"","case_control_group","fruit","measure","human_fruit","human_dropped_fruit","animal_dropped_fruit","bat_fruit","tp_fruit"
"150","control, far","jackfruit","sum",1754,185,336,941,1068
"151","control, far","jackfruit","count",1812,1812,1812,1812,1711
"152","control, far","jackfruit","numNA",3,3,3,3,104
"153","control, far","lichhi","mean",0.924944812362031,0.22682119205298,0.102097130242826,0.625827814569536,0.172998246639392
"154","control, far","lichhi","sum",1676,411,185,1134,296
"155","control, far","lichhi","count",1812,1812,1812,1812,1711
"156","control, far","lichhi","numNA",3,3,3,3,104
"157","control, far","custard.apple","mean",0.614790286975717,0.130242825607064,0.07560706401766,0.384105960264901,0.151373465809468
"158","control, far","custard.apple","sum",1114,236,137,696,259
"159","control, far","custard.apple","count",1812,1812,1812,1812,1711
"160","control, far","custard.apple","numNA",3,3,3,3,104
"161","control, far","wood.apple","mean",0.381898454746137,0.0998896247240618,0.0171081677704194,0.0513245033112583,0.0286382232612507
"162","control, far","wood.apple","sum",692,181,31,93,49
"163","control, far","wood.apple","count",1812,1812,1812,1812,1711
"164","control, far","wood.apple","numNA",3,3,3,3,104
"165","control, far","elephant.apple","mean",0.5,0.136313465783664,0.0750551876379691,0.188189845474614,0.059614260666277
"166","control, far","elephant.apple","sum",906,247,136,341,102
"167","control, far","elephant.apple","count",1812,1812,1812,1812,1711
"168","control, far","elephant.apple","numNA",3,3,3,3,104
"169","control, far","papaya","mean",0.863686534216336,0.120860927152318,0.0998896247240618,0.480684326710817,0.385739333722969
"170","control, far","papaya","sum",1565,219,181,871,660
"171","control, far","papaya","count",1812,1812,1812,1812,1711
"172","control, far","papaya","numNA",3,3,3,3,104
"173","control, far","watermelon","mean",0.86037527593819,0.00938189845474614,0.0347682119205298,0.0292494481236203,0.00116890707188778
"174","control, far","watermelon","sum",1559,17,63,53,2
"175","control, far","watermelon","count",1812,1812,1812,1812,1711
"176","control, far","watermelon","numNA",3,3,3,3,104
"177","control, far","melon","mean",0.644591611479029,0.00662251655629139,0.0259381898454746,0.0171081677704194,0.00116890707188778
"178","control, far","melon","sum",1168,12,47,31,2
"179","control, far","melon","count",1812,1812,1812,1812,1711
"180","control, far","melon","numNA",3,3,3,3,104
"181","control, far","cashew.fruit","mean",0.173289183222958,0.0165562913907285,0.010485651214128,0.0607064017660044,0.0151957919345412
"182","control, far","cashew.fruit","sum",314,30,19,110,26
"183","control, far","cashew.fruit","count",1812,1812,1812,1812,1711
"184","control, far","cashew.fruit","numNA",3,3,3,3,104
"185","control, far","pomegranate","mean",0.484547461368653,0.0695364238410596,0.0320088300220751,0.146799116997792,0.0409117475160725
"186","control, far","pomegranate","sum",878,126,58,266,70
"187","control, far","pomegranate","count",1812,1812,1812,1812,1711
"188","control, far","pomegranate","numNA",3,3,3,3,104
"189","control, far","palmyra","mean",0.644591611479029,0.221302428256071,0.0883002207505519,0.365894039735099,0.1531268264173
"190","control, far","palmyra","sum",1168,401,160,663,262
"191","control, far","palmyra","count",1812,1812,1812,1812,1711
"192","control, far","palmyra","numNA",3,3,3,3,104
"193","control, far","plum","mean",0.560706401766004,0.226269315673289,0.125827814569536,0.409492273730684,0.0601987142022209
"194","control, far","plum","sum",1016,410,228,742,103
"195","control, far","plum","count",1812,1812,1812,1812,1711
"196","control, far","plum","numNA",3,3,3,3,104
"197","control, far","rose.apple","mean",0.223509933774834,0.0187637969094923,0.010485651214128,0.11037527593819,0.0631209818819404
"198","control, far","rose.apple","sum",405,34,19,200,108
"199","control, far","rose.apple","count",1812,1812,1812,1812,1711
"200","control, far","rose.apple","numNA",3,3,3,3,104
"201","control, far","indian.olive","mean",0.79083885209713,0.294150110375276,0.108167770419426,0.385209713024283,0.153711279953244
"202","control, far","indian.olive","sum",1433,533,196,698,263
"203","control, far","indian.olive","count",1812,1812,1812,1812,1711
"204","control, far","indian.olive","numNA",3,3,3,3,104
"205","control, far","latkan","mean",0.22075055187638,0.0789183222958057,0.043046357615894,0.133002207505519,0.00876680303915839
"206","control, far","latkan","sum",400,143,78,241,15
"207","control, far","latkan","count",1812,1812,1812,1812,1711
"208","control, far","latkan","numNA",3,3,3,3,104
"209","control, far","monkey.jack","mean",0.204194260485651,0.0689845474613687,0.0292494481236203,0.161699779249448,0.0344827586206897
"210","control, far","monkey.jack","sum",370,125,53,293,59
"211","control, far","monkey.jack","count",1812,1812,1812,1812,1711
"212","control, far","monkey.jack","numNA",3,3,3,3,104
"213","control, far","uriam","mean",0.0165562913907285,0.0033112582781457,0.0033112582781457,0.00827814569536424,0.00642898889538282
"214","control, far","uriam","sum",30,6,6,15,11
"215","control, far","uriam","count",1812,1812,1812,1812,1711
"216","control, far","uriam","numNA",3,3,3,3,104
"217","control, far","rattan","mean",0.0391832229580574,0.0033112582781457,0.0033112582781457,0.0237306843267108,0.00233781414377557
"218","control, far","rattan","sum",71,6,6,43,4
"219","control, far","rattan","count",1812,1812,1812,1812,1711
"220","control, far","rattan","numNA",3,3,3,3,104
"221","control, far","river.ebony","mean",0.314569536423841,0.118653421633554,0.0612582781456954,0.312913907284768,0.104617182933957
"222","control, far","river.ebony","sum",570,215,111,567,179
"223","control, far","river.ebony","count",1812,1812,1812,1812,1711
"224","control, far","river.ebony","numNA",3,3,3,3,104
"225","control, far","star.fruit","mean",0.76766004415011,0.259933774834437,0.133002207505519,0.386865342163355,0.144360023378141
"226","control, far","star.fruit","sum",1391,471,241,701,247
"227","control, far","star.fruit","count",1812,1812,1812,1812,1711
"228","control, far","star.fruit","numNA",3,3,3,3,104
"229","control, far","wild.dates","mean",0.097682119205298,0.0480132450331126,0.0193156732891832,0.126931567328918,0.0198714202220923
"230","control, far","wild.dates","sum",177,87,35,230,34
"231","control, far","wild.dates","count",1812,1812,1812,1812,1711
"232","control, far","wild.dates","numNA",3,3,3,3,104
"233","control, far","coconut","mean",0.870860927152318,0.182119205298013,0.00441501103752759,0.0706401766004415,0.610753945061368
"234","control, far","coconut","sum",1578,330,8,128,1045
"235","control, far","coconut","count",1812,1812,1812,1812,1711
"236","control, far","coconut","numNA",3,3,3,3,104
"237","control, far","betel","mean",0.842163355408388,0.427704194260486,0.0143487858719647,0.589955849889625,0.524254821741671
"238","control, far","betel","sum",1526,775,26,1069,897
"239","control, far","betel","count",1812,1812,1812,1812,1711
"240","control, far","betel","numNA",3,3,3,3,104
"241","control, far","blackberry.jam","mean",0.753863134657837,0.342715231788079,0.107064017660044,0.481788079470199,0.155464640561075
"242","control, far","blackberry.jam","sum",1366,621,194,873,266
"243","control, far","blackberry.jam","count",1812,1812,1812,1812,1711
"244","control, far","blackberry.jam","numNA",3,3,3,3,104
"245","control, far","water.chestnut","mean",0.237306843267108,0.00662251655629139,0.00386313465783664,0.010485651214128,0.00350672121566335
"246","control, far","water.chestnut","sum",430,12,7,19,6
"247","control, far","water.chestnut","count",1812,1812,1812,1812,1711
"248","control, far","water.chestnut","numNA",3,3,3,3,104
"249","control, near","banana","mean",0.951923076923077,0.0299773755656109,0.160633484162896,0.834841628959276,0.670767428236673
"250","control, near","banana","sum",1683,53,284,1476,1145
"251","control, near","banana","count",1768,1768,1768,1768,1707
"252","control, near","banana","numNA",0,0,0,0,61
"253","control, near","mango","mean",0.97341628959276,0.807692307692308,0.330882352941176,0.921380090497738,0.902167545401289
"254","control, near","mango","sum",1721,1428,585,1629,1540
"255","control, near","mango","count",1768,1768,1768,1768,1707
"256","control, near","mango","numNA",0,0,0,0,61
"257","control, near","buroi","mean",0.943438914027149,0.691176470588235,0.298076923076923,0.841628959276018,0.484475688342121
"258","control, near","buroi","sum",1668,1222,527,1488,827
"259","control, near","buroi","count",1768,1768,1768,1768,1707
"260","control, near","buroi","numNA",0,0,0,0,61
"261","control, near","sofeda","mean",0.35237556561086,0.0497737556561086,0.0231900452488688,0.363122171945701,0.0638547158758055
"262","control, near","sofeda","sum",623,88,41,642,109
"263","control, near","sofeda","count",1768,1768,1768,1768,1707
"264","control, near","sofeda","numNA",0,0,0,0,61
"265","control, near","guava","mean",0.959841628959276,0.459276018099547,0.217194570135747,0.872737556561086,0.708260105448155
"266","control, near","guava","sum",1697,812,384,1543,1209
"267","control, near","guava","count",1768,1768,1768,1768,1707
"268","control, near","guava","numNA",0,0,0,0,61
"269","control, near","date.palm","mean",0.6289592760181,0.21210407239819,0.0593891402714932,0.407239819004525,0.25776215582894
"270","control, near","date.palm","sum",1112,375,105,720,440
"271","control, near","date.palm","count",1768,1768,1768,1768,1707
"272","control, near","date.palm","numNA",0,0,0,0,61
"273","control, near","jackfruit","mean",0.947398190045249,0.0469457013574661,0.199095022624434,0.553733031674208,0.74223784417106
"274","control, near","jackfruit","sum",1675,83,352,979,1267
"275","control, near","jackfruit","count",1768,1768,1768,1768,1707
"276","control, near","jackfruit","numNA",0,0,0,0,61
"277","control, near","lichhi","mean",0.881221719457014,0.18552036199095,0.0831447963800905,0.715497737556561,0.236086701816052
"278","control, near","lichhi","sum",1558,328,147,1265,403
"279","control, near","lichhi","count",1768,1768,1768,1768,1707
"280","control, near","lichhi","numNA",0,0,0,0,61
"281","control, near","custard.apple","mean",0.544117647058823,0.0542986425339367,0.0509049773755656,0.409502262443439,0.140597539543058
"282","control, near","custard.apple","sum",962,96,90,724,240
"283","control, near","custard.apple","count",1768,1768,1768,1768,1707
"284","control, near","custard.apple","numNA",0,0,0,0,61
"285","control, near","wood.apple","mean",0.361990950226244,0.0441176470588235,0.00339366515837104,0.0373303167420814,0.0281195079086116
"286","control, near","wood.apple","sum",640,78,6,66,48
