"","Village_ID","Tree_number","Tree_type","Date_of_observation","Day","Month","Year","Date_of_shaving","Camera_number","Tree_coordinates_east","Tree_coordinates_west","In_H","In_M","In_S","Out_H","Out_M","Out_S","DurStayT","DurContT","Way","Con_place","P_NP","Comments","Number_of_visits","Number_of_stays","Number_of_contaminations","AM_PM"
"2683",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,47,10,1,47,11,1,0,0,0,0,NA,1,0,0,"AM"
"2684",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,49,44,1,49,45,1,0,2,0,2,NA,1,0,0,"AM"
"2685",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,9,26,2,9,27,1,0,0,0,0,NA,1,0,0,"AM"
"2686",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,18,24,2,18,26,2,1,2,1,0,NA,1,1,1,"AM"
"2687",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,24,31,2,24,32,1,0,2,0,0,NA,1,0,0,"AM"
"2688",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,34,8,2,34,10,2,1,2,1,0,NA,1,1,1,"AM"
"2689",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,34,31,2,34,32,1,0,0,0,2,NA,1,0,0,"AM"
"2690",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,34,41,2,34,42,1,0,0,0,2,NA,1,0,0,"AM"
"2691",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",2,43,2,2,43,7,5,4,2,1,0,NA,1,1,1,"AM"
"2692",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",3,14,14,3,14,44,30,29,2,1,0,NA,1,1,1,"AM"
"2693",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",3,18,28,3,18,30,2,1,2,0,0,NA,1,1,0,"AM"
"2694",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",3,18,36,3,19,45,69,68,2,1,0,NA,1,1,1,"AM"
"2695",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",3,30,47,3,30,49,2,1,2,1,0,NA,1,1,1,"AM"
"2696",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",3,41,26,3,41,28,2,1,2,1,0,NA,1,1,1,"AM"
"2697",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",3,47,28,3,47,30,2,1,2,1,0,NA,1,1,1,"AM"
"2698",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",3,47,50,3,48,13,23,22,2,1,0,NA,1,1,1,"AM"
"2699",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",4,1,46,4,1,52,6,5,2,1,0,NA,1,1,1,"AM"
"2700",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",4,20,48,4,20,54,6,5,2,1,0,NA,1,1,1,"AM"
